net,length_um
io_rdata[26],31.2µm
u_regfile.regs\[3\]\[1\],31.185µm
_2069_,31.15µm
_0829_,31.08µm
io_wdata[23],31.02µm
u_regfile.regs\[4\]\[30\],30.99µm
_1923_,30.92µm
_0605_,30.91µm
_0705_,30.9µm
u_regfile.regs\[3\]\[21\],30.825µm
_0735_,30.795µm
dmem_addr[9],30.79µm
dmem_wdata[8],30.79µm
dmem_rdata[9],30.74µm
_2322_,30.735µm
_2308_,30.73µm
_0583_,30.72µm
_1798_,30.69µm
_0977_,30.68µm
u_regfile.regs\[7\]\[12\],30.62µm
net98,30.55µm
io_rd,30.54µm
_0917_,30.48µm
imem_addr[4],30.43µm
imem_addr[5],30.43µm
net95,30.42µm
imem_data[8],30.37µm
dmem_rdata[22],30.36µm
_0864_,30.355µm
_1598_,30.32µm
_2420_,30.285µm
dmem_wdata[9],30.2µm
imem_addr[14],30.13µm
u_regfile.regs\[5\]\[16\],30.12µm
_2144_,30.07µm
_1247_,30.01µm
_2534_,30µm
u_regfile.regs\[1\]\[2\],29.965µm
u_regfile.regs\[2\]\[26\],29.815µm
u_regfile.regs\[2\]\[13\],29.71µm
_0612_,29.64µm
_1889_,29.64µm
_0747_,29.635µm
net167,29.52µm
u_pc.pc_next\[13\],29.52µm
u_regfile.regs\[3\]\[23\],29.48µm
_0938_,29.46µm
io_rdata[7],29.41µm
u_regfile.regs\[1\]\[21\],29.37µm
_0543_,29.345µm
io_rdata[28],29.28µm
_1565_,29.23µm
u_regfile.regs\[2\]\[4\],29.185µm
_1803_,29.12µm
_2417_,29.07µm
u_regfile.regs\[7\]\[6\],29µm
io_wdata[28],28.98µm
imem_data[10],28.93µm
u_regfile.regs\[4\]\[4\],28.87µm
dmem_wdata[11],28.87µm
imem_addr[6],28.87µm
imem_addr[8],28.87µm
_2135_,28.81µm
u_regfile.regs\[5\]\[10\],28.75µm
u_regfile.regs\[4\]\[25\],28.63µm
_0532_,28.62µm
net182,28.62µm
u_regfile.regs\[7\]\[14\],28.62µm
_2116_,28.56µm
u_regfile.regs\[4\]\[10\],28.48µm
_0615_,28.45µm
_0932_,28.45µm
dmem_rdata[4],28.45µm
imem_data[11],28.45µm
io_rdata[0],28.45µm
u_regfile.regs\[5\]\[31\],28.415µm
dmem_rdata[3],28.33µm
imem_data[1],28.33µm
_2497_,28.28µm
_0757_,28.26µm
_1091_,28.245µm
u_regfile.regs\[1\]\[31\],28.245µm
dmem_addr[26],28.22µm
_2300_,28.21µm
u_regfile.regs\[4\]\[0\],28.21µm
dmem_addr[11],28.15µm
_0933_,28.14µm
_1899_,28.12µm
u_regfile.regs\[4\]\[9\],28.1µm
_1574_,28.09µm
u_regfile.regs\[2\]\[8\],28.09µm
dmem_wdata[0],28.03µm
_1914_,28µm
_1800_,27.985µm
u_regfile.regs\[7\]\[2\],27.985µm
_0589_,27.97µm
imem_addr[9],27.95µm
u_regfile.regs\[1\]\[22\],27.935µm
u_regfile.regs\[2\]\[30\],27.93µm
imem_addr[7],27.91µm
io_wdata[8],27.91µm
_1200_,27.9µm
_0946_,27.87µm
u_regfile.regs\[7\]\[24\],27.87µm
_1035_,27.775µm
_1797_,27.755µm
_0794_,27.74µm
_1507_,27.735µm
u_regfile.regs\[1\]\[11\],27.73µm
net208,27.72µm
u_regfile.regs\[1\]\[24\],27.715µm
_1356_,27.655µm
_1465_,27.655µm
net71,27.61µm
_0520_,27.54µm
u_regfile.regs\[3\]\[27\],27.54µm
_2164_,27.5µm
net52,27.5µm
imem_data[9],27.49µm
dmem_rdata[16],27.48µm
net179,27.44µm
io_wdata[27],27.43µm
dmem_rdata[27],27.37µm
imem_addr[17],27.37µm
_0762_,27.36µm
_2173_,27.295µm
_1310_,27.28µm
u_regfile.regs\[4\]\[2\],27.27µm
_2370_,27.255µm
_1485_,27.24µm
net173,27.18µm
io_wdata[17],27.18µm
_1418_,27.175µm
_2157_,27.175µm
_1987_,27.115µm
u_regfile.regs\[2\]\[1\],26.98µm
dmem_addr[5],26.95µm
dmem_rdata[30],26.88µm
u_regfile.regs\[7\]\[9\],26.875µm
dmem_addr[12],26.87µm
_2250_,26.865µm
u_regfile.regs\[5\]\[28\],26.815µm
net9,26.71µm
u_regfile.regs\[3\]\[30\],26.7µm
u_regfile.regs\[1\]\[7\],26.66µm
net155,26.645µm
_2520_,26.605µm
_0551_,26.59µm
dmem_addr[22],26.59µm
_1395_,26.53µm
dmem_rdata[2],26.53µm
io_rdata[3],26.53µm
_1704_,26.52µm
u_regfile.regs\[1\]\[13\],26.495µm
_0785_,26.47µm
_1225_,26.37µm
net15,26.34µm
_1820_,26.305µm
u_regfile.regs\[7\]\[7\],26.18µm
_1981_,26.17µm
_2356_,26.17µm
_2175_,26.165µm
u_pc.pc_next\[14\],26.16µm
dmem_rd,26.1µm
net68,26.05µm
_1659_,26.04µm
dmem_addr[10],25.99µm
dmem_addr[1],25.99µm
io_wdata[0],25.99µm
u_regfile.regs\[7\]\[26\],25.98µm
_0725_,25.94µm
imem_data[3],25.94µm
dmem_rdata[29],25.92µm
_2449_,25.915µm
u_regfile.regs\[6\]\[24\],25.905µm
u_regfile.regs\[6\]\[0\],25.87µm
u_regfile.regs\[2\]\[14\],25.855µm
u_regfile.regs\[4\]\[1\],25.83µm
_2254_,25.81µm
net14,25.75µm
_0547_,25.725µm
_1726_,25.69µm
net91,25.68µm
u_regfile.regs\[6\]\[31\],25.625µm
_1423_,25.615µm
io_rdata[2],25.57µm
_1271_,25.53µm
u_regfile.regs\[1\]\[9\],25.52µm
_2304_,25.51µm
u_regfile.regs\[1\]\[18\],25.315µm
u_regfile.regs\[3\]\[15\],25.305µm
dmem_addr[17],25.26µm
dmem_addr[20],25.26µm
dmem_addr[21],25.26µm
_2415_,25.255µm
_0538_,25.2µm
_1230_,25.15µm
u_regfile.regs\[1\]\[25\],25.09µm
io_rdata[30],25.08µm
_0654_,25.065µm
dmem_addr[13],25.03µm
_0752_,24.97µm
_0536_,24.96µm
_1848_,24.91µm
_1280_,24.905µm
imem_addr[13],24.89µm
net225,24.85µm
u_regfile.regs\[6\]\[4\],24.84µm
