Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_76_548,VSS,Metal1,269.0400,302.4000,0.000675
FILLER_76_546,VSS,Metal1,268.3200,302.4000,0.000588
FILLER_76_539,VSS,Metal1,266.1660,302.8600,0.000197
FILLER_76_532,VSS,Metal1,262.8060,302.8600,0.000194
FILLER_76_523,VSS,Metal1,257.7480,302.7760,0.000183
FILLER_76_516,VSS,Metal1,255.1260,302.8600,0.000130
FILLER_76_509,VSS,Metal1,251.7660,302.8600,0.000071
FILLER_76_502,VSS,Metal1,248.4060,302.8600,0.000108
FILLER_76_490,VSS,Metal1,241.9080,302.7760,0.000178
FILLER_76_475,VSS,Metal1,235.4460,302.8600,0.000337
FILLER_76_464,VSS,Metal1,228.7200,302.4000,0.000399
FILLER_76_457,VSS,Metal1,226.8060,302.8600,0.000412
FILLER_76_450,VSS,Metal1,223.4460,302.8600,0.000412
FILLER_76_427,VSS,Metal1,211.2000,302.4000,0.000466
FILLER_76_423,VSS,Metal1,209.7480,302.7760,0.000466
FILLER_76_404,VSS,Metal1,199.9200,302.4000,0.000405
FILLER_76_397,VSS,Metal1,198.0060,302.8600,0.000405
FILLER_76_390,VSS,Metal1,194.6460,302.8600,0.000405
FILLER_76_369,VSS,Metal1,183.1200,302.4000,0.000294
FILLER_76_367,VSS,Metal1,182.4000,302.4000,0.000294
FILLER_76_360,VSS,Metal1,180.2460,302.8600,0.000293
FILLER_76_338,VSS,Metal1,168.4800,302.4000,0.000104
FILLER_76_332,VSS,Metal1,165.3600,302.4000,0.000138
FILLER_76_325,VSS,Metal1,163.4460,302.8600,0.000138
FILLER_76_318,VSS,Metal1,160.0860,302.8600,0.000138
FILLER_76_311,VSS,Metal1,156.7260,302.8600,0.000139
FILLER_76_296,VSS,Metal1,149.5260,302.8600,0.000489
FILLER_76_289,VSS,Metal1,146.1660,302.8600,0.000509
FILLER_76_282,VSS,Metal1,142.8060,302.8600,0.000572
FILLER_76_275,VSS,Metal1,139.4460,302.8600,0.000634
FILLER_76_268,VSS,Metal1,136.0860,302.8600,0.000696
FILLER_76_253,VSS,Metal1,127.6800,302.4000,0.000648
FILLER_76_249,VSS,Metal1,126.2280,302.7760,0.000648
FILLER_76_245,VSS,Metal1,123.6000,302.4000,0.000614
FILLER_76_237,VSS,Metal1,120.4680,302.7760,0.000250
FILLER_76_230,VSS,Metal1,117.8460,302.8600,0.000199
FILLER_76_223,VSS,Metal1,114.4860,302.8600,0.000147
FILLER_76_216,VSS,Metal1,111.1260,302.8600,0.000095
FILLER_76_209,VSS,Metal1,107.7660,302.8600,0.000077
FILLER_76_199,VSS,Metal1,101.5200,302.4000,0.000065
FILLER_76_195,VSS,Metal1,100.3080,302.7760,0.000074
FILLER_76_178,VSS,Metal1,92.8860,302.8600,0.000152
FILLER_76_147,VSS,Metal1,76.5600,302.4000,0.000219
FILLER_76_143,VSS,Metal1,75.3480,302.7760,0.000222
FILLER_76_136,VSS,Metal1,72.7260,302.8600,0.000223
FILLER_76_129,VSS,Metal1,69.3660,302.8600,0.000224
FILLER_76_122,VSS,Metal1,66.0060,302.8600,0.000224
FILLER_76_90,VSS,Metal1,49.4400,302.4000,0.000163
FILLER_76_31,VSS,Metal1,21.1200,302.4000,0.000056
FILLER_76_24,VSS,Metal1,18.9660,302.8600,0.000061
FILLER_76_19,VSS,Metal1,15.1200,302.4000,0.000062
FILLER_76_17,VSS,Metal1,14.4000,302.4000,0.000062
FILLER_76_11,VSS,Metal1,11.2800,302.4000,0.000064
FILLER_76_7,VSS,Metal1,10.0680,302.7760,0.000064
FILLER_76_0,VSS,Metal1,7.4460,302.8600,0.000064
FILLER_75_615,VSS,Metal1,302.6460,301.9390,0.001040
