Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_76_539,VDD,Metal1,266.1690,305.5810,1.199553
FILLER_76_532,VDD,Metal1,262.8090,305.5810,1.199570
FILLER_76_523,VDD,Metal1,257.7710,305.5830,1.199587
FILLER_76_516,VDD,Metal1,255.1290,305.5810,1.199603
FILLER_76_509,VDD,Metal1,251.7690,305.5810,1.199611
FILLER_76_502,VDD,Metal1,248.4090,305.5810,1.199894
FILLER_76_490,VDD,Metal1,241.9310,305.5830,1.198621
FILLER_76_475,VDD,Metal1,235.4490,305.5810,1.198575
FILLER_76_464,VDD,Metal1,228.7200,306.1800,1.198513
FILLER_76_457,VDD,Metal1,226.8090,305.5810,1.198494
FILLER_76_450,VDD,Metal1,223.4490,305.5810,1.198475
FILLER_76_427,VDD,Metal1,211.2000,306.1800,1.198151
FILLER_76_423,VDD,Metal1,209.7710,305.5830,1.198151
FILLER_76_404,VDD,Metal1,199.9200,306.1800,1.198099
FILLER_76_397,VDD,Metal1,198.0090,305.5810,1.198098
FILLER_76_390,VDD,Metal1,194.6490,305.5810,1.198097
FILLER_76_369,VDD,Metal1,183.1200,306.1800,1.198073
FILLER_76_367,VDD,Metal1,182.4000,306.1800,1.198074
FILLER_76_360,VDD,Metal1,180.2490,305.5810,1.198075
FILLER_76_338,VDD,Metal1,168.4800,306.1800,1.199937
FILLER_76_332,VDD,Metal1,165.3600,306.1800,1.199936
FILLER_76_325,VDD,Metal1,163.4490,305.5810,1.199933
FILLER_76_318,VDD,Metal1,160.0890,305.5810,1.199930
FILLER_76_311,VDD,Metal1,156.7290,305.5810,1.199745
FILLER_76_296,VDD,Metal1,149.5290,305.5810,1.199688
FILLER_76_289,VDD,Metal1,146.1690,305.5810,1.199673
FILLER_76_282,VDD,Metal1,142.8090,305.5810,1.199660
FILLER_76_275,VDD,Metal1,139.4490,305.5810,1.199647
FILLER_76_268,VDD,Metal1,136.0890,305.5810,1.199635
FILLER_76_253,VDD,Metal1,127.6800,306.1800,1.199634
FILLER_76_249,VDD,Metal1,126.2510,305.5830,1.199635
FILLER_76_245,VDD,Metal1,123.6000,306.1800,1.199635
FILLER_76_237,VDD,Metal1,120.4910,305.5830,1.199698
FILLER_76_230,VDD,Metal1,117.8490,305.5810,1.199698
FILLER_76_223,VDD,Metal1,114.4890,305.5810,1.199720
FILLER_76_216,VDD,Metal1,111.1290,305.5810,1.199744
FILLER_76_209,VDD,Metal1,107.7690,305.5810,1.199769
FILLER_76_199,VDD,Metal1,101.5200,306.1800,1.199782
FILLER_76_195,VDD,Metal1,100.3310,305.5830,1.199782
FILLER_76_178,VDD,Metal1,92.8890,305.5810,1.199307
FILLER_76_147,VDD,Metal1,76.5600,306.1800,1.199166
FILLER_76_143,VDD,Metal1,75.3710,305.5830,1.199142
FILLER_76_136,VDD,Metal1,72.7290,305.5810,1.199131
FILLER_76_129,VDD,Metal1,69.3690,305.5810,1.199119
FILLER_76_122,VDD,Metal1,66.0090,305.5810,1.199107
FILLER_76_90,VDD,Metal1,49.4400,306.1800,1.199427
FILLER_76_31,VDD,Metal1,21.1200,306.1800,1.199933
FILLER_76_24,VDD,Metal1,18.9690,305.5810,1.199934
FILLER_76_19,VDD,Metal1,15.1200,306.1800,1.199933
FILLER_76_17,VDD,Metal1,14.4000,306.1800,1.199933
FILLER_76_11,VDD,Metal1,11.2800,306.1800,1.199933
FILLER_76_7,VDD,Metal1,10.0910,305.5830,1.199933
FILLER_76_0,VDD,Metal1,7.4490,305.5810,1.199929
FILLER_75_615,VDD,Metal1,302.6490,299.2180,1.193195
FILLER_75_608,VDD,Metal1,299.2890,299.2180,1.193580
FILLER_75_601,VDD,Metal1,295.9290,299.2180,1.193594
FILLER_75_585,VDD,Metal1,288.2490,299.2180,1.198665
FILLER_75_578,VDD,Metal1,284.8890,299.2180,1.198670
FILLER_75_571,VDD,Metal1,281.5290,299.2180,1.198751
FILLER_75_560,VDD,Metal1,275.0400,298.6200,1.198802
FILLER_75_556,VDD,Metal1,273.6110,299.2160,1.198803
FILLER_75_546,VDD,Metal1,268.3200,298.6200,1.198806
FILLER_75_542,VDD,Metal1,266.8910,299.2160,1.198807
FILLER_75_535,VDD,Metal1,264.2490,299.2180,1.198938
